Date,Open,High,Low,Close
12/30/2005,"4,763.4","4,775.8","4,749.2","4,763.4"
12/29/2005,"4,772.5","4,773.0","4,755.6","4,772.5"
12/28/2005,"4,755.6","4,759.9","4,723.1","4,755.6"
12/23/2005,"4,727.7","4,732.9","4,707.8","4,727.7"
12/22/2005,"4,707.8","4,728.7","4,701.4","4,707.8"
12/21/2005,"4,718.2","4,719.2","4,672.2","4,718.2"
12/20/2005,"4,672.3","4,676.5","4,638.2","4,672.3"
12/19/2005,"4,655.4","4,678.4","4,644.0","4,655.4"
12/16/2005,"4,644.0","4,644.0","4,606.3","4,644.0"
12/15/2005,"4,627.9","4,645.6","4,613.2","4,627.9"
12/14/2005,"4,617.9","4,623.3","4,587.1","4,617.9"
12/13/2005,"4,587.1","4,611.9","4,586.7","4,587.1"
12/12/2005,"4,611.9","4,629.1","4,580.1","4,611.9"
12/09/2005,"4,580.1","4,587.7","4,549.3","4,580.1"
12/08/2005,"4,578.0","4,623.9","4,577.9","4,578.0"
12/07/2005,"4,623.9","4,632.3","4,616.0","4,623.9"
12/06/2005,"4,616.0","4,636.2","4,602.0","4,616.0"
12/05/2005,"4,624.6","4,631.9","4,610.3","4,624.6"
12/02/2005,"4,623.5","4,640.8","4,580.1","4,623.5"
12/01/2005,"4,580.1","4,634.8","4,577.4","4,580.1"
11/30/2005,"4,634.8","4,677.6","4,634.4","4,634.8"
11/29/2005,"4,639.0","4,665.3","4,622.5","4,639.0"
11/28/2005,"4,665.3","4,665.3","4,645.1","4,665.3"
11/25/2005,"4,648.8","4,665.9","4,645.2","4,648.8"
11/24/2005,"4,652.3","4,656.4","4,616.6","4,652.3"
11/23/2005,"4,616.6","4,645.2","4,614.0","4,616.6"
11/22/2005,"4,622.9","4,680.1","4,621.8","4,622.9"
11/21/2005,"4,654.2","4,672.3","4,654.2","4,654.2"
11/18/2005,"4,671.1","4,671.1","4,629.1","4,671.1"
11/17/2005,"4,629.1","4,645.4","4,619.5","4,629.1"
11/16/2005,"4,621.1","4,624.9","4,594.6","4,621.1"
11/15/2005,"4,603.2","4,614.0","4,597.7","4,603.2"
11/14/2005,"4,608.4","4,614.3","4,574.3","4,608.4"
11/11/2005,"4,574.3","4,583.1","4,543.7","4,574.3"
11/10/2005,"4,543.7","4,543.7","4,518.4","4,543.7"
11/09/2005,"4,526.1","4,554.5","4,514.9","4,526.1"
11/08/2005,"4,554.5","4,554.5","4,510.4","4,554.5"
11/07/2005,"4,512.5","4,519.5","4,497.4","4,512.5"
11/04/2005,"4,519.5","4,533.5","4,504.5","4,519.5"
11/03/2005,"4,513.7","4,520.5","4,456.3","4,513.7"
11/02/2005,"4,456.3","4,482.0","4,441.8","4,456.3"
11/01/2005,"4,474.7","4,478.8","4,459.7","4,474.7"
10/31/2005,"4,459.7","4,459.7","4,383.0","4,459.7"
10/28/2005,"4,383.0","4,433.0","4,383.0","4,383.0"
10/27/2005,"4,433.0","4,453.8","4,425.8","4,433.0"
10/26/2005,"4,443.4","4,443.4","4,390.8","4,443.4"
10/25/2005,"4,390.8","4,414.8","4,357.2","4,390.8"
10/24/2005,"4,357.2","4,364.3","4,337.7","4,357.2"
10/21/2005,"4,364.3","4,380.1","4,311.1","4,364.3"
10/20/2005,"4,380.1","4,419.5","4,367.7","4,380.1"
10/19/2005,"4,377.2","4,459.3","4,377.2","4,377.2"
10/18/2005,"4,459.3","4,461.3","4,425.3","4,459.3"
10/17/2005,"4,425.3","4,450.9","4,406.1","4,425.3"
10/14/2005,"4,406.1","4,432.0","4,393.2","4,406.1"
10/13/2005,"4,431.0","4,468.2","4,401.7","4,431.0"
10/12/2005,"4,468.2","4,472.8","4,428.8","4,468.2"
10/11/2005,"4,428.8","4,469.1","4,416.2","4,428.8"
10/10/2005,"4,469.1","4,479.8","4,440.6","4,469.1"
10/07/2005,"4,440.6","4,476.4","4,421.5","4,440.6"
10/06/2005,"4,447.3","4,543.5","4,446.3","4,447.3"
10/05/2005,"4,543.5","4,643.6","4,543.5","4,543.5"
10/04/2005,"4,643.6","4,654.3","4,630.8","4,643.6"
10/03/2005,"4,642.4","4,648.9","4,624.6","4,642.4"
09/30/2005,"4,641.2","4,679.1","4,641.2","4,641.2"
09/29/2005,"4,671.7","4,676.2","4,627.6","4,671.7"
09/28/2005,"4,627.6","4,638.5","4,612.5","4,627.6"
09/27/2005,"4,629.2","4,652.4","4,618.9","4,629.2"
09/26/2005,"4,618.9","4,618.9","4,562.4","4,618.9"
09/23/2005,"4,562.4","4,577.8","4,549.1","4,562.4"
09/22/2005,"4,561.7","4,561.9","4,537.5","4,561.7"
09/21/2005,"4,552.4","4,580.9","4,552.1","4,552.4"
09/20/2005,"4,580.9","4,584.8","4,551.3","4,580.9"
09/19/2005,"4,551.3","4,576.9","4,551.3","4,551.3"
09/16/2005,"4,553.6","4,560.9","4,513.9","4,553.6"
09/15/2005,"4,513.9","4,529.4","4,505.6","4,513.9"
09/14/2005,"4,518.3","4,525.6","4,485.9","4,518.3"
09/13/2005,"4,495.1","4,499.9","4,466.5","4,495.1"
09/12/2005,"4,471.8","4,481.9","4,465.0","4,471.8"
09/09/2005,"4,468.1","4,474.9","4,442.7","4,468.1"
09/08/2005,"4,474.9","4,502.9","4,474.3","4,474.9"
09/07/2005,"4,492.0","4,495.2","4,462.0","4,492.0"
09/06/2005,"4,462.0","4,475.7","4,453.2","4,462.0"
09/05/2005,"4,455.4","4,474.7","4,440.9","4,455.4"
09/02/2005,"4,473.7","4,514.3","4,473.6","4,473.7"
09/01/2005,"4,497.7","4,497.6","4,446.8","4,497.7"
