Date,Open,High,Low,Close
12/31/2021,"7,515.3","7,515.3","7,444.6","7,444.6"
12/30/2021,"7,512.2","7,520.6","7,499.5","7,513.4"
12/29/2021,"7,427.1","7,518.4","7,426.3","7,509.8"
12/24/2021,"7,397.6","7,435.9","7,397.2","7,420.3"
12/23/2021,"7,365.1","7,404.2","7,363.6","7,387.6"
12/22/2021,"7,361.9","7,374.5","7,333.0","7,364.8"
12/21/2021,"7,287.3","7,358.3","7,287.3","7,355.0"
12/20/2021,"7,299.4","7,302.7","7,257.8","7,292.2"
12/17/2021,"7,298.4","7,350.3","7,297.5","7,304.0"
12/16/2021,"7,332.7","7,334.5","7,277.1","7,295.7"
12/15/2021,"7,374.3","7,375.4","7,325.7","7,327.1"
12/14/2021,"7,368.9","7,393.5","7,341.3","7,378.4"
12/13/2021,"7,359.6","7,417.7","7,359.4","7,379.3"
12/10/2021,"7,376.2","7,376.2","7,336.7","7,353.5"
12/09/2021,"7,396.8","7,418.3","7,377.7","7,384.5"
12/08/2021,"7,334.6","7,443.4","7,334.5","7,405.4"
12/07/2021,"7,255.7","7,326.1","7,252.8","7,313.9"
12/06/2021,"7,222.8","7,257.9","7,207.8","7,245.1"
12/03/2021,"7,241.3","7,288.2","7,211.5","7,241.2"
12/02/2021,"7,217.5","7,239.7","7,168.9","7,225.2"
12/01/2021,"7,251.9","7,262.3","7,183.4","7,235.9"
11/30/2021,"7,255.2","7,332.6","7,254.7","7,256.0"
11/29/2021,"7,260.5","7,276.3","7,180.3","7,239.8"
11/26/2021,"7,403.8","7,403.8","7,260.3","7,279.3"
11/25/2021,"7,406.1","7,412.7","7,373.7","7,407.3"
11/24/2021,"7,417.6","7,425.0","7,381.8","7,399.4"
11/23/2021,"7,358.8","7,416.6","7,358.8","7,410.6"
11/22/2021,"7,393.5","7,393.6","7,337.0","7,353.1"
11/19/2021,"7,376.0","7,404.9","7,376.0","7,396.5"
11/18/2021,"7,368.7","7,398.2","7,343.8","7,379.2"
11/17/2021,"7,418.7","7,431.1","7,342.9","7,369.9"
11/16/2021,"7,458.7","7,459.9","7,403.5","7,420.4"
11/15/2021,"7,439.4","7,479.1","7,437.9","7,470.1"
11/12/2021,"7,394.8","7,465.8","7,394.0","7,443.0"
11/11/2021,"7,420.6","7,423.8","7,329.5","7,381.9"
11/10/2021,"7,429.8","7,460.5","7,411.9","7,423.9"
11/09/2021,"7,459.0","7,468.6","7,434.2","7,434.2"
11/08/2021,"7,453.1","7,474.3","7,433.4","7,452.2"
11/05/2021,"7,425.9","7,477.2","7,424.4","7,456.9"
