Date,Open,High,Low,Close
12/31/2002,"3,007.1","3,007.1","3,007.1","3,007.1"
12/30/2002,"2,992.7","2,992.7","2,992.7","2,992.7"
12/27/2002,"3,027.2","3,027.2","3,027.2","3,027.2"
12/24/2002,"3,032.8","3,032.8","3,032.8","3,032.8"
12/23/2002,"3,033.5","3,033.5","3,033.5","3,033.5"
12/20/2002,"3,011.4","3,011.4","3,011.4","3,011.4"
12/19/2002,"2,989.1","2,989.1","2,989.1","2,989.1"
12/18/2002,"2,986.5","2,986.5","2,986.5","2,986.5"
12/17/2002,"2,986.7","2,986.7","2,986.7","2,986.7"
12/16/2002,"2,949.9","2,949.9","2,949.9","2,949.9"
12/13/2002,"2,971.3","2,971.3","2,971.3","2,971.3"
12/12/2002,"2,987.8","2,987.8","2,987.8","2,987.8"
12/11/2002,"2,969.7","2,969.7","2,969.7","2,969.7"
12/10/2002,"2,990.8","2,990.8","2,990.8","2,990.8"
12/09/2002,"3,023.5","3,023.5","3,023.5","3,023.5"
12/06/2002,"3,027.3","3,027.3","3,027.3","3,027.3"
12/05/2002,"3,040.5","3,040.5","3,040.5","3,040.5"
12/04/2002,"3,027.2","3,027.2","3,027.2","3,027.2"
12/03/2002,"3,072.6","3,072.6","3,072.6","3,072.6"
12/02/2002,"3,083.8","3,083.8","3,083.8","3,083.8"
11/29/2002,"3,061.4","3,061.4","3,061.4","3,061.4"
11/28/2002,"3,043.5","3,043.5","3,043.5","3,043.5"
11/27/2002,"3,005.2","3,005.2","3,005.2","3,005.2"
11/26/2002,"3,015.4","3,015.4","3,015.4","3,015.4"
11/25/2002,"3,041.3","3,041.3","3,041.3","3,041.3"
11/22/2002,"3,035.8","3,035.8","3,035.8","3,035.8"
11/21/2002,"3,021.9","3,021.9","3,021.9","3,021.9"
11/20/2002,"3,007.8","3,007.8","3,007.8","3,007.8"
11/19/2002,"2,989.7","2,989.7","2,989.7","2,989.7"
11/18/2002,"2,999.7","2,999.7","2,999.7","2,999.7"
11/15/2002,"3,004.9","3,004.9","3,004.9","3,004.9"
11/14/2002,"2,962.2","2,962.2","2,962.2","2,962.2"
11/13/2002,"2,971.0","2,971.0","2,971.0","2,971.0"
11/12/2002,"2,982.5","2,982.5","2,982.5","2,982.5"
11/11/2002,"2,972.9","2,972.9","2,972.9","2,972.9"
11/08/2002,"3,008.8","3,008.8","3,008.8","3,008.8"
11/07/2002,"3,038.9","3,038.9","3,038.9","3,038.9"
11/06/2002,"3,075.5","3,075.5","3,075.5","3,075.5"
11/05/2002,"3,050.2","3,050.2","3,050.2","3,050.2"
11/04/2002,"3,054.8","3,054.8","3,054.8","3,054.8"
11/01/2002,"3,010.3","3,010.3","3,010.3","3,010.3"
10/31/2002,"3,042.9","3,042.9","3,042.9","3,042.9"
10/30/2002,"3,006.2","3,006.2","3,006.2","3,006.2"
10/29/2002,"3,011.3","3,011.3","3,011.3","3,011.3"
10/28/2002,"3,035.6","3,035.6","3,035.6","3,035.6"
10/25/2002,"3,009.2","3,009.2","3,009.2","3,009.2"
10/24/2002,"3,023.6","3,023.6","3,023.6","3,023.6"
10/23/2002,"3,031.9","3,031.9","3,031.9","3,031.9"
10/22/2002,"3,003.0","3,003.0","3,003.0","3,003.0"
10/21/2002,"2,990.2","2,990.2","2,990.2","2,990.2"
10/18/2002,"3,010.6","3,010.6","3,010.6","3,010.6"
10/17/2002,"2,989.8","2,989.8","2,989.8","2,989.8"
10/16/2002,"2,993.8","2,993.8","2,993.8","2,993.8"
10/15/2002,"2,994.9","2,994.9","2,994.9","2,994.9"
10/14/2002,"2,959.8","2,959.8","2,959.8","2,959.8"
10/11/2002,"2,924.6","2,924.6","2,924.6","2,924.6"
10/10/2002,"2,896.6","2,896.6","2,896.6","2,896.6"
10/09/2002,"2,912.7","2,912.7","2,912.7","2,912.7"
10/08/2002,"2,946.0","2,946.0","2,946.0","2,946.0"
10/07/2002,"2,940.0","2,940.0","2,940.0","2,940.0"
10/04/2002,"2,991.6","2,991.6","2,991.6","2,991.6"
10/03/2002,"2,999.3","2,999.3","2,999.3","2,999.3"
10/02/2002,"2,998.3","2,998.2","2,998.2","2,998.3"
10/01/2002,"2,987.2","2,987.2","2,987.2","2,987.2"
09/30/2002,"2,970.9","2,970.9","2,970.9","2,970.9"
09/27/2002,"3,008.9","3,008.9","3,008.9","3,008.9"
09/26/2002,"2,988.7","2,988.7","2,988.7","2,988.7"
09/25/2002,"2,991.1","2,991.1","2,991.1","2,991.1"
09/24/2002,"3,033.3","3,033.3","3,033.3","3,033.3"
09/23/2002,"3,046.7","3,046.7","3,046.7","3,046.7"
09/20/2002,"3,073.6","3,073.6","3,073.6","3,073.6"
09/19/2002,"3,090.7","3,090.7","3,090.7","3,090.7"
09/18/2002,"3,120.3","3,120.3","3,120.3","3,120.3"
09/17/2002,"3,156.7","3,156.7","3,156.7","3,156.7"
09/16/2002,"3,125.7","3,125.7","3,125.7","3,125.7"
09/13/2002,"3,130.6","3,130.6","3,130.6","3,130.6"
09/12/2002,"3,142.1","3,142.1","3,142.1","3,142.1"
09/11/2002,"3,148.0","3,148.0","3,148.0","3,148.0"
09/10/2002,"3,110.1","3,110.1","3,110.1","3,110.1"
09/09/2002,"3,119.6","3,119.6","3,119.6","3,119.6"
09/06/2002,"3,089.5","3,089.5","3,089.5","3,089.5"
09/05/2002,"3,113.5","3,113.5","3,113.5","3,113.5"
09/04/2002,"3,093.2","3,093.2","3,093.2","3,093.2"
09/03/2002,"3,143.2","3,143.2","3,143.2","3,143.2"
09/02/2002,"3,131.0","3,131.0","3,131.0","3,131.0"
08/30/2002,"3,120.1","3,120.1","3,120.1","3,120.1"
08/29/2002,"3,130.9","3,130.8","3,130.8","3,130.9"
08/28/2002,"3,137.7","3,137.7","3,137.7","3,137.7"
08/27/2002,"3,160.3","3,160.3","3,160.3","3,160.3"
08/26/2002,"3,176.9","3,176.9","3,176.9","3,176.9"
08/23/2002,"3,184.5","3,184.5","3,184.5","3,184.5"
08/22/2002,"3,195.7","3,195.7","3,195.7","3,195.7"
08/21/2002,"3,164.3","3,164.3","3,164.3","3,164.3"
08/20/2002,"3,176.7","3,176.7","3,176.7","3,176.7"
08/19/2002,"3,148.2","3,148.2","3,148.2","3,148.2"
08/16/2002,"3,133.3","3,133.3","3,133.3","3,133.3"
08/15/2002,"3,128.0","3,128.0","3,128.0","3,128.0"
08/14/2002,"3,096.2","3,096.2","3,096.2","3,096.2"
08/13/2002,"3,110.3","3,110.3","3,110.3","3,110.3"
