Date,Open,High,Low,Close
12/31/2008,"3,654.2","3,729.8","3,654.2","3,722.3"
12/30/2008,"3,621.1","3,672.5","3,597.9","3,654.2"
12/29/2008,"3,582.2","3,657.8","3,572.7","3,621.1"
12/24/2008,"3,531.4","3,599.3","3,529.1","3,582.2"
12/23/2008,"3,557.4","3,574.4","3,494.3","3,531.4"
12/22/2008,"3,615.7","3,627.7","3,552.3","3,557.4"
12/19/2008,"3,581.2","3,620.5","3,509.1","3,615.7"
12/18/2008,"3,570.6","3,581.2","3,516.8","3,581.2"
12/17/2008,"3,556.2","3,635.8","3,549.9","3,570.6"
12/16/2008,"3,591.4","3,591.9","3,507.7","3,556.2"
12/15/2008,"3,510.4","3,664.4","3,535.6","3,591.4"
12/12/2008,"3,598.0","3,586.5","3,474.1","3,510.4"
12/11/2008,"3,640.7","3,670.8","3,550.4","3,598.0"
12/10/2008,"3,604.3","3,653.9","3,557.6","3,640.7"
12/09/2008,"3,631.6","3,655.6","3,563.4","3,604.3"
12/08/2008,"3,489.9","3,647.7","3,505.8","3,631.6"
12/05/2008,"3,532.4","3,557.7","3,485.2","3,489.9"
12/04/2008,"3,533.8","3,610.8","3,522.4","3,532.4"
12/03/2008,"3,528.2","3,621.9","3,497.0","3,533.8"
12/02/2008,"3,681.2","3,632.7","3,528.2","3,528.2"
12/01/2008,"3,742.5","3,742.5","3,648.8","3,681.2"
11/28/2008,"3,588.0","3,742.5","3,588.0","3,742.5"
11/27/2008,"3,540.0","3,659.4","3,540.0","3,588.0"
11/26/2008,"3,623.4","3,621.7","3,536.8","3,540.0"
11/25/2008,"3,425.1","3,623.4","3,425.1","3,623.4"
11/24/2008,"3,416.5","3,441.5","3,362.0","3,425.1"
11/21/2008,"3,352.9","3,416.5","3,217.5","3,416.5"
11/20/2008,"3,499.6","3,499.6","3,340.3","3,352.9"
11/19/2008,"3,523.2","3,570.8","3,438.8","3,499.6"
11/18/2008,"3,653.0","3,664.3","3,506.2","3,523.2"
11/17/2008,"3,748.1","3,748.1","3,616.4","3,653.0"
11/14/2008,"3,697.3","3,858.4","3,745.4","3,748.1"
11/13/2008,"3,927.3","3,878.8","3,697.3","3,697.3"
11/12/2008,"3,960.9","3,966.7","3,892.7","3,927.3"
11/11/2008,"4,107.8","4,088.8","3,926.9","3,960.9"
11/10/2008,"4,051.3","4,159.8","4,065.1","4,107.8"
11/07/2008,"4,149.7","4,149.7","3,963.8","4,051.3"
11/06/2008,"4,336.6","4,283.1","4,144.9","4,149.7"
11/05/2008,"4,215.1","4,340.5","4,215.1","4,336.6"
11/04/2008,"4,221.5","4,226.8","4,135.9","4,215.1"
11/03/2008,"4,018.0","4,221.5","4,039.4","4,221.5"
10/31/2008,"4,001.1","4,018.0","3,938.2","4,018.0"
10/30/2008,"3,845.6","4,022.4","3,868.1","4,001.1"
10/29/2008,"3,794.6","3,976.2","3,817.4","3,845.6"
10/28/2008,"3,809.2","3,809.2","3,724.8","3,794.6"
10/27/2008,"3,869.4","3,874.5","3,761.1","3,809.2"
10/24/2008,"3,974.4","4,029.2","3,830.0","3,869.4"
10/23/2008,"4,156.1","4,088.8","3,973.2","3,974.4"
10/22/2008,"4,302.5","4,302.5","4,156.1","4,156.1"
10/21/2008,"4,142.3","4,302.5","4,142.3","4,302.5"
10/20/2008,"3,970.8","4,142.3","3,970.8","4,142.3"
10/17/2008,"4,013.4","4,150.4","3,963.2","3,970.8"
10/16/2008,"4,300.0","4,300.0","3,995.2","4,013.4"
10/15/2008,"4,335.2","4,330.8","4,265.4","4,300.0"
10/14/2008,"4,180.7","4,442.4","4,247.8","4,335.2"
10/13/2008,"3,960.7","4,202.3","3,960.7","4,180.7"
10/10/2008,"4,320.9","4,320.9","3,960.7","3,960.7"
10/09/2008,"4,388.1","4,393.8","4,269.9","4,320.9"
10/08/2008,"4,618.7","4,618.7","4,381.8","4,388.1"
10/07/2008,"4,540.4","4,652.9","4,391.9","4,618.7"
10/06/2008,"4,695.4","4,695.4","4,515.0","4,540.4"
10/03/2008,"4,761.1","4,761.1","4,633.2","4,695.4"
10/02/2008,"4,794.6","4,832.5","4,757.3","4,761.1"
10/01/2008,"4,600.5","4,794.6","4,636.3","4,794.6"
09/30/2008,"4,807.4","4,807.4","4,540.7","4,600.5"
09/29/2008,"4,807.4","4,956.6","4,782.9","4,807.4"
09/26/2008,"4,927.4","4,990.5","4,837.9","4,904.8"
09/25/2008,"4,981.9","4,983.0","4,925.3","4,927.4"
09/24/2008,"4,923.5","4,987.5","4,916.1","4,981.9"
09/23/2008,"5,020.5","5,020.5","4,882.1","4,923.5"
09/22/2008,"4,804.1","5,020.5","4,804.1","5,020.5"
09/19/2008,"4,607.3","4,828.3","4,607.3","4,804.1"
09/18/2008,"4,722.2","4,670.1","4,527.4","4,607.3"
09/17/2008,"4,750.8","4,822.4","4,700.6","4,722.2"
09/16/2008,"4,817.7","4,781.4","4,685.5","4,750.8"
09/15/2008,"4,903.8","4,905.1","4,770.9","4,817.7"
09/12/2008,"4,814.3","4,903.8","4,814.3","4,903.8"
09/11/2008,"4,905.5","4,917.6","4,811.4","4,814.3"
09/10/2008,"4,980.1","4,980.1","4,848.0","4,905.5"
09/09/2008,"5,067.5","5,050.1","4,963.7","4,980.1"
09/08/2008,"4,877.1","5,081.7","4,877.1","5,067.5"
09/05/2008,"4,979.5","4,977.9","4,837.6","4,877.1"
09/04/2008,"5,060.0","5,081.5","4,952.3","4,979.5"
09/03/2008,"5,116.0","5,144.3","5,033.8","5,060.0"
09/02/2008,"5,118.3","5,177.2","5,096.5","5,116.0"
09/01/2008,"5,135.6","5,135.6","5,093.4","5,118.3"
08/29/2008,"5,066.5","5,146.3","5,066.5","5,135.6"
08/28/2008,"5,011.2","5,087.7","5,011.2","5,066.5"
08/27/2008,"5,007.5","5,038.3","4,968.5","5,011.2"
08/26/2008,"5,014.9","5,014.9","4,895.0","5,007.5"
08/25/2008,"4,931.4","5,036.6","4,931.4","5,014.9"
08/22/2008,"4,875.2","4,936.6","4,875.2","4,931.4"
08/21/2008,"4,929.5","4,944.5","4,868.2","4,875.2"
08/20/2008,"4,866.4","4,931.5","4,866.4","4,929.5"
08/19/2008,"4,985.0","4,985.0","4,866.4","4,866.4"
08/18/2008,"4,981.7","5,031.6","4,934.1","4,985.0"
08/15/2008,"4,981.1","4,999.5","4,950.3","4,981.7"
08/14/2008,"4,951.6","5,064.4","4,951.6","4,981.1"
08/13/2008,"5,053.6","5,053.6","4,931.7","4,951.6"
08/12/2008,"5,026.1","5,072.9","5,008.7","5,053.6"
08/11/2008,"4,986.2","5,055.1","4,986.2","5,026.1"
08/08/2008,"4,983.3","4,992.6","4,911.0","4,986.2"
08/07/2008,"4,969.1","5,004.9","4,940.4","4,983.3"
08/06/2008,"4,820.4","4,978.3","4,820.4","4,969.1"
08/05/2008,"4,887.7","4,887.7","4,758.5","4,820.4"
08/04/2008,"4,904.0","4,936.4","4,882.7","4,887.7"
08/01/2008,"4,977.4","4,977.4","4,869.4","4,904.0"
07/31/2008,"4,936.7","5,015.2","4,936.7","4,977.4"
07/30/2008,"4,847.4","4,958.4","4,843.2","4,936.7"
07/29/2008,"4,922.1","4,922.1","4,819.4","4,847.4"
07/28/2008,"4,970.5","4,970.5","4,885.8","4,922.1"
07/25/2008,"5,144.1","5,144.1","4,939.8","4,970.5"
07/24/2008,"5,105.3","5,158.3","5,094.2","5,144.1"
07/23/2008,"5,005.6","5,156.1","5,003.9","5,105.3"
07/22/2008,"5,011.8","5,011.8","4,947.8","5,005.6"
07/21/2008,"4,840.4","5,011.8","4,840.4","5,011.8"
07/18/2008,"4,901.0","4,905.4","4,825.8","4,840.4"
07/17/2008,"4,870.6","4,932.6","4,862.1","4,901.0"
07/16/2008,"4,815.7","4,885.8","4,787.5","4,870.6"
07/15/2008,"4,921.0","4,921.0","4,795.8","4,815.7"
07/14/2008,"4,979.9","4,979.9","4,910.0","4,921.0"
07/11/2008,"4,937.4","4,990.6","4,931.4","4,979.9"
07/10/2008,"5,011.9","5,011.9","4,916.9","4,937.4"
07/09/2008,"4,932.9","5,042.2","4,932.9","5,011.9"
07/08/2008,"5,002.5","5,030.8","4,931.5","4,932.9"
07/07/2008,"5,082.1","5,082.1","4,975.4","5,002.5"
07/04/2008,"4,998.3","5,082.1","4,998.3","5,082.1"
07/03/2008,"5,094.8","5,094.8","4,969.1","4,998.3"
07/02/2008,"5,138.9","5,138.9","5,060.6","5,094.8"
07/01/2008,"5,215.3","5,231.9","5,138.9","5,138.9"
06/30/2008,"5,237.0","5,305.9","5,212.0","5,215.3"
06/27/2008,"5,307.0","5,307.0","5,144.7","5,237.0"
06/26/2008,"5,237.8","5,334.1","5,237.8","5,307.0"
06/25/2008,"5,290.0","5,290.0","5,215.0","5,237.8"
06/24/2008,"5,283.7","5,295.3","5,241.6","5,290.0"
06/23/2008,"5,288.3","5,293.6","5,211.6","5,283.7"
06/20/2008,"5,366.6","5,374.9","5,276.2","5,288.3"
06/19/2008,"5,443.2","5,443.2","5,366.6","5,366.6"
06/18/2008,"5,422.7","5,444.2","5,385.2","5,443.2"
06/17/2008,"5,371.7","5,422.7","5,310.1","5,422.7"
06/16/2008,"5,378.1","5,405.5","5,357.3","5,371.7"
06/13/2008,"5,329.2","5,378.1","5,290.0","5,378.1"
06/12/2008,"5,467.3","5,467.3","5,326.0","5,329.2"
06/11/2008,"5,437.5","5,467.4","5,398.0","5,467.3"
06/10/2008,"5,592.1","5,592.1","5,437.5","5,437.5"
06/06/2008,"5,530.1","5,619.3","5,530.1","5,592.1"
06/05/2008,"5,584.5","5,584.5","5,514.3","5,530.1"
06/04/2008,"5,574.2","5,620.2","5,558.7","5,584.5"
06/03/2008,"5,662.3","5,662.3","5,568.9","5,574.2"
06/02/2008,"5,654.7","5,681.5","5,595.5","5,662.3"
05/30/2008,"5,709.4","5,709.4","5,641.1","5,654.7"
05/29/2008,"5,648.1","5,715.7","5,648.1","5,709.4"
05/28/2008,"5,714.4","5,720.4","5,628.5","5,648.1"
05/27/2008,"5,707.0","5,736.0","5,705.6","5,714.4"
05/26/2008,"5,768.0","5,768.0","5,699.5","5,707.0"
05/23/2008,"5,826.9","5,840.0","5,753.2","5,768.0"
05/22/2008,"5,823.4","5,863.8","5,738.9","5,826.9"
05/21/2008,"5,908.1","5,908.1","5,809.3","5,823.4"
05/20/2008,"5,949.4","5,949.4","5,893.8","5,908.1"
05/19/2008,"5,931.0","5,980.8","5,931.0","5,949.4"
05/16/2008,"5,890.7","5,971.5","5,890.7","5,931.0"
05/15/2008,"5,872.7","5,911.9","5,863.8","5,890.7"
05/14/2008,"5,812.7","5,887.8","5,808.7","5,872.7"
05/13/2008,"5,828.5","5,842.0","5,792.3","5,812.7"
05/12/2008,"5,771.8","5,846.8","5,771.8","5,828.5"
05/09/2008,"5,723.2","5,810.7","5,722.8","5,771.8"
05/08/2008,"5,668.4","5,731.9","5,590.6","5,723.2"
05/07/2008,"5,701.4","5,747.2","5,656.7","5,668.4"
05/06/2008,"5,730.3","5,734.9","5,680.3","5,701.4"
05/05/2008,"5,700.4","5,730.3","5,730.3","5,730.3"
05/02/2008,"5,585.8","5,700.4","5,585.8","5,700.4"
05/01/2008,"5,595.4","5,595.4","5,538.7","5,585.8"
04/30/2008,"5,606.9","5,620.5","5,516.0","5,595.4"
04/29/2008,"5,602.7","5,626.6","5,575.7","5,606.9"
04/28/2008,"5,587.3","5,672.7","5,573.0","5,602.7"
04/24/2008,"5,652.9","5,652.9","5,557.4","5,587.3"
04/23/2008,"5,564.6","5,653.9","5,564.3","5,652.9"
04/22/2008,"5,600.3","5,600.3","5,524.6","5,564.6"
04/21/2008,"5,429.7","5,604.0","5,429.7","5,600.3"
