Date,Open,High,Low,Close
12/31/2003,"3,299.8","3,299.8","3,299.8","3,299.8"
12/30/2003,"3,295.1","3,295.1","3,295.1","3,295.1"
12/29/2003,"3,281.8","3,281.8","3,281.8","3,281.8"
12/24/2003,"3,265.6","3,265.6","3,265.6","3,265.6"
12/23/2003,"3,254.9","3,254.8","3,254.8","3,254.9"
12/22/2003,"3,255.4","3,255.4","3,255.4","3,255.4"
12/19/2003,"3,232.8","3,232.8","3,232.8","3,232.8"
12/18/2003,"3,224.2","3,224.1","3,224.1","3,224.2"
12/17/2003,"3,231.4","3,231.4","3,231.4","3,231.4"
12/16/2003,"3,215.2","3,215.2","3,215.2","3,215.2"
12/15/2003,"3,247.6","3,247.6","3,247.6","3,247.6"
12/12/2003,"3,212.7","3,212.7","3,212.7","3,212.7"
12/11/2003,"3,189.4","3,189.4","3,189.4","3,189.4"
12/10/2003,"3,211.2","3,211.2","3,211.2","3,211.2"
12/09/2003,"3,218.8","3,218.8","3,218.8","3,218.8"
12/08/2003,"3,225.1","3,225.1","3,225.1","3,225.1"
12/05/2003,"3,229.8","3,229.7","3,229.7","3,229.8"
12/04/2003,"3,229.8","3,229.8","3,229.8","3,229.8"
12/03/2003,"3,215.3","3,215.3","3,215.3","3,215.3"
12/02/2003,"3,187.7","3,187.7","3,187.7","3,187.7"
12/01/2003,"3,170.1","3,170.1","3,170.1","3,170.1"
11/28/2003,"3,186.4","3,186.4","3,186.4","3,186.4"
11/27/2003,"3,185.8","3,185.8","3,185.8","3,185.8"
11/26/2003,"3,191.4","3,191.4","3,191.4","3,191.4"
11/25/2003,"3,192.0","3,192.0","3,192.0","3,192.0"
11/24/2003,"3,171.5","3,171.5","3,171.5","3,171.5"
11/21/2003,"3,169.1","3,169.1","3,169.1","3,169.1"
11/20/2003,"3,184.1","3,184.1","3,184.1","3,184.1"
11/19/2003,"3,181.4","3,181.4","3,181.4","3,181.4"
11/18/2003,"3,175.4","3,175.4","3,175.4","3,175.4"
11/17/2003,"3,174.4","3,174.4","3,174.4","3,174.4"
11/14/2003,"3,201.8","3,201.8","3,201.8","3,201.8"
11/13/2003,"3,217.7","3,217.7","3,217.7","3,217.7"
11/12/2003,"3,203.0","3,203.0","3,203.0","3,203.0"
11/11/2003,"3,200.6","3,200.6","3,200.6","3,200.6"
11/10/2003,"3,230.1","3,230.1","3,230.1","3,230.1"
11/07/2003,"3,248.5","3,248.5","3,248.5","3,248.5"
11/06/2003,"3,241.1","3,241.1","3,241.1","3,241.1"
11/05/2003,"3,240.7","3,240.7","3,240.7","3,240.7"
11/04/2003,"3,264.7","3,264.7","3,264.7","3,264.7"
11/03/2003,"3,256.5","3,256.5","3,256.5","3,256.5"
10/31/2003,"3,272.0","3,272.0","3,272.0","3,272.0"
10/30/2003,"3,273.8","3,273.8","3,273.8","3,273.8"
10/29/2003,"3,263.4","3,263.4","3,263.4","3,263.4"
10/28/2003,"3,243.5","3,243.5","3,243.5","3,243.5"
10/27/2003,"3,244.4","3,244.4","3,244.4","3,244.4"
10/24/2003,"3,256.3","3,256.2","3,256.2","3,256.3"
10/23/2003,"3,266.3","3,266.3","3,266.3","3,266.3"
10/22/2003,"3,299.5","3,299.5","3,299.5","3,299.5"
10/21/2003,"3,303.7","3,303.7","3,303.7","3,303.7"
10/20/2003,"3,287.7","3,287.7","3,287.7","3,287.7"
10/17/2003,"3,294.3","3,294.3","3,294.3","3,294.3"
10/16/2003,"3,295.1","3,295.1","3,295.1","3,295.1"
10/15/2003,"3,283.7","3,283.7","3,283.7","3,283.7"
10/14/2003,"3,282.9","3,282.9","3,282.9","3,282.9"
10/13/2003,"3,276.4","3,276.4","3,276.4","3,276.4"
10/10/2003,"3,260.2","3,260.2","3,260.2","3,260.2"
10/09/2003,"3,251.3","3,251.3","3,251.3","3,251.3"
10/08/2003,"3,243.1","3,243.1","3,243.1","3,243.1"
10/07/2003,"3,218.7","3,218.7","3,218.7","3,218.7"
10/06/2003,"3,217.2","3,217.2","3,217.2","3,217.2"
10/03/2003,"3,203.3","3,203.3","3,203.3","3,203.3"
10/02/2003,"3,199.4","3,199.4","3,199.4","3,199.4"
10/01/2003,"3,159.2","3,159.2","3,159.2","3,159.2"
09/30/2003,"3,169.5","3,169.5","3,169.5","3,169.5"
09/29/2003,"3,164.3","3,164.3","3,164.3","3,164.3"
09/26/2003,"3,171.5","3,171.5","3,171.5","3,171.5"
09/25/2003,"3,172.8","3,172.8","3,172.8","3,172.8"
09/24/2003,"3,208.5","3,208.5","3,208.5","3,208.5"
09/23/2003,"3,180.6","3,180.6","3,180.6","3,180.6"
09/22/2003,"3,193.0","3,193.0","3,193.0","3,193.0"
09/19/2003,"3,218.1","3,218.1","3,218.1","3,218.1"
09/18/2003,"3,221.3","3,221.3","3,221.3","3,221.3"
09/17/2003,"3,217.0","3,217.0","3,217.0","3,217.0"
09/16/2003,"3,194.3","3,194.3","3,194.3","3,194.3"
09/15/2003,"3,189.8","3,189.8","3,189.8","3,189.8"
09/12/2003,"3,192.5","3,192.5","3,192.5","3,192.5"
09/11/2003,"3,193.9","3,193.9","3,193.9","3,193.9"
09/10/2003,"3,216.0","3,216.0","3,216.0","3,216.0"
09/09/2003,"3,235.3","3,235.3","3,235.3","3,235.3"
09/08/2003,"3,230.3","3,230.3","3,230.3","3,230.3"
09/05/2003,"3,213.8","3,213.8","3,213.8","3,213.8"
09/04/2003,"3,226.5","3,226.5","3,226.5","3,226.5"
09/03/2003,"3,210.9","3,210.9","3,210.9","3,210.9"
09/02/2003,"3,218.0","3,218.0","3,218.0","3,218.0"
09/01/2003,"3,205.1","3,205.1","3,205.1","3,205.1"
08/29/2003,"3,199.7","3,199.7","3,199.7","3,199.7"
08/28/2003,"3,197.0","3,197.0","3,197.0","3,197.0"
08/27/2003,"3,179.9","3,179.9","3,179.9","3,179.9"
08/26/2003,"3,167.2","3,167.2","3,167.2","3,167.2"
08/25/2003,"3,176.4","3,176.4","3,176.4","3,176.4"
08/22/2003,"3,184.4","3,184.4","3,184.4","3,184.4"
08/21/2003,"3,174.9","3,174.9","3,174.9","3,174.9"
08/20/2003,"3,171.5","3,171.5","3,171.5","3,171.5"
08/19/2003,"3,169.3","3,169.3","3,169.3","3,169.3"
08/18/2003,"3,164.5","3,164.5","3,164.5","3,164.5"
08/15/2003,"3,148.0","3,148.0","3,148.0","3,148.0"
08/14/2003,"3,150.4","3,150.4","3,150.4","3,150.4"
08/13/2003,"3,158.1","3,158.1","3,158.1","3,158.1"
08/12/2003,"3,142.7","3,142.9","3,142.9","3,142.7"
08/11/2003,"3,145.8","3,145.8","3,145.8","3,145.8"
08/08/2003,"3,149.4","3,149.4","3,149.4","3,149.4"
08/07/2003,"3,138.6","3,138.6","3,138.6","3,138.6"
08/06/2003,"3,133.5","3,133.5","3,133.5","3,133.5"
08/05/2003,"3,137.4","3,137.4","3,137.4","3,137.4"
08/04/2003,"3,128.9","3,128.9","3,128.9","3,128.9"
08/01/2003,"3,140.3","3,140.3","3,140.3","3,140.3"
07/31/2003,"3,122.3","3,122.3","3,122.3","3,122.3"
07/30/2003,"3,091.2","3,091.2","3,091.2","3,091.2"
07/29/2003,"3,107.8","3,107.8","3,107.8","3,107.8"
07/28/2003,"3,119.4","3,119.4","3,119.4","3,119.4"
07/25/2003,"3,098.6","3,098.6","3,098.6","3,098.6"
07/24/2003,"3,090.7","3,090.7","3,090.7","3,090.7"
07/23/2003,"3,085.5","3,085.5","3,085.5","3,085.5"
07/22/2003,"3,066.5","3,066.5","3,066.5","3,066.5"
07/21/2003,"3,089.0","3,089.0","3,089.0","3,089.0"
07/18/2003,"3,083.6","3,083.6","3,083.6","3,083.6"
07/17/2003,"3,088.0","3,088.0","3,088.0","3,088.0"
