Date,Open,High,Low,Close
12/31/2009,"4,842.1","4,873.6","4,842.1","4,870.6"
12/30/2009,"4,844.4","4,867.8","4,833.3","4,833.3"
12/29/2009,"4,795.7","4,858.0","4,795.7","4,845.1"
12/24/2009,"4,741.1","4,790.9","4,741.1","4,790.9"
12/23/2009,"4,704.5","4,742.6","4,694.9","4,739.3"
12/22/2009,"4,643.7","4,704.2","4,643.7","4,704.2"
12/21/2009,"4,660.4","4,693.5","4,635.1","4,635.1"
12/18/2009,"4,653.5","4,653.5","4,604.7","4,650.5"
12/17/2009,"4,674.0","4,703.1","4,649.2","4,670.3"
12/16/2009,"4,670.2","4,689.1","4,656.1","4,661.9"
12/15/2009,"4,660.0","4,691.1","4,660.0","4,673.5"
12/14/2009,"4,636.4","4,654.0","4,608.3","4,654.0"
12/11/2009,"4,611.8","4,646.0","4,611.8","4,635.2"
12/10/2009,"4,637.8","4,652.4","4,596.6","4,606.6"
12/09/2009,"4,662.6","4,662.9","4,596.2","4,637.9"
12/08/2009,"4,678.6","4,697.2","4,655.6","4,670.6"
12/07/2009,"4,666.0","4,666.0","4,651.1","4,676.5"
12/04/2009,"4,759.9","4,760.6","4,687.6","4,702.2"
12/03/2009,"4,764.5","4,787.0","4,754.4","4,774.6"
12/02/2009,"4,733.0","4,795.2","4,733.0","4,762.4"
12/01/2009,"4,696.9","4,719.0","4,675.4","4,719.0"
11/30/2009,"4,592.8","4,707.9","4,592.8","4,701.4"
11/27/2009,"4,676.5","4,676.5","4,562.7","4,572.1"
11/26/2009,"4,731.3","4,751.3","4,698.2","4,708.6"
11/25/2009,"4,691.0","4,722.9","4,673.2","4,722.2"
11/24/2009,"4,724.1","4,763.9","4,685.0","4,685.0"
11/23/2009,"4,688.8","4,725.4","4,681.1","4,717.0"
11/20/2009,"4,732.9","4,734.0","4,673.2","4,685.8"
11/19/2009,"4,744.3","4,761.3","4,728.9","4,749.2"
11/18/2009,"4,737.0","4,780.4","4,737.0","4,739.0"
11/17/2009,"4,768.2","4,799.0","4,729.4","4,729.4"
11/16/2009,"4,715.9","4,760.5","4,715.9","4,755.2"
11/13/2009,"4,734.4","4,734.4","4,690.9","4,706.4"
11/12/2009,"4,760.9","4,796.6","4,746.4","4,747.9"
11/11/2009,"4,736.7","4,768.0","4,736.7","4,757.0"
11/10/2009,"4,694.8","4,756.8","4,694.8","4,733.6"
11/09/2009,"4,596.8","4,680.3","4,596.8","4,674.9"
11/06/2009,"4,527.8","4,594.0","4,527.5","4,594.0"
11/05/2009,"4,536.2","4,558.7","4,502.5","4,508.0"
11/04/2009,"4,533.9","4,559.5","4,518.0","4,540.1"
11/03/2009,"4,547.8","4,579.2","4,517.6","4,531.5"
11/02/2009,"4,612.6","4,612.6","4,517.6","4,540.4"
10/30/2009,"4,602.7","4,673.6","4,602.7","4,643.2"
10/29/2009,"4,653.2","4,653.2","4,562.5","4,574.7"
10/28/2009,"4,751.7","4,764.2","4,682.7","4,685.1"
10/27/2009,"4,814.5","4,814.5","4,751.4","4,753.5"
10/26/2009,"4,846.9","4,848.8","4,811.6","4,830.3"
10/23/2009,"4,826.5","4,868.0","4,826.5","4,859.4"
10/22/2009,"4,831.7","4,844.9","4,809.2","4,812.8"
10/21/2009,"4,837.9","4,837.9","4,819.2","4,838.6"
10/20/2009,"4,807.7","4,871.3","4,807.7","4,846.2"
10/19/2009,"4,830.4","4,830.4","4,772.1","4,792.8"
10/16/2009,"4,858.9","4,877.1","4,834.5","4,836.4"
10/15/2009,"4,845.4","4,895.3","4,845.4","4,859.9"
10/14/2009,"4,783.1","4,840.1","4,781.1","4,831.1"
10/13/2009,"4,743.9","4,797.2","4,743.9","4,785.7"
10/12/2009,"4,762.4","4,786.3","4,736.9","4,739.8"
10/09/2009,"4,779.7","4,803.5","4,749.6","4,752.9"
10/08/2009,"4,698.4","4,780.0","4,687.9","4,768.6"
10/07/2009,"4,612.8","4,708.3","4,612.8","4,695.7"
10/06/2009,"4,588.0","4,641.3","4,582.9","4,591.6"
10/05/2009,"4,601.7","4,618.3","4,584.3","4,573.3"
10/02/2009,"4,671.6","4,701.1","4,601.5","4,601.7"
10/01/2009,"4,739.9","4,757.7","4,696.9","4,701.1"
09/30/2009,"4,746.7","4,767.8","4,730.0","4,743.6"
09/29/2009,"4,696.3","4,767.9","4,696.3","4,753.1"
09/28/2009,"4,703.8","4,713.3","4,645.0","4,677.4"
09/25/2009,"4,686.2","4,727.0","4,639.4","4,713.3"
09/24/2009,"4,719.9","4,734.1","4,692.3","4,701.2"
09/23/2009,"4,675.6","4,735.6","4,663.7","4,734.1"
09/22/2009,"4,672.0","4,683.6","4,656.1","4,663.7"
09/21/2009,"4,687.4","4,701.7","4,665.9","4,677.4"
09/18/2009,"4,702.5","4,714.9","4,658.5","4,693.2"
09/17/2009,"4,652.0","4,749.7","4,652.0","4,714.9"
09/16/2009,"4,551.9","4,651.2","4,551.8","4,650.4"
09/15/2009,"4,541.6","4,585.2","4,526.9","4,540.3"
09/14/2009,"4,595.7","4,596.1","4,518.8","4,531.1"
09/11/2009,"4,570.8","4,608.6","4,570.8","4,596.1"
09/10/2009,"4,523.3","4,577.3","4,522.2","4,570.8"
09/09/2009,"4,532.8","4,554.7","4,504.2","4,522.2"
09/08/2009,"4,461.1","4,527.0","4,454.4","4,523.8"
09/07/2009,"4,443.1","4,467.6","4,435.5","4,454.4"
09/04/2009,"4,443.2","4,477.0","4,434.0","4,435.5"
09/03/2009,"4,437.1","4,446.7","4,410.0","4,429.6"
09/02/2009,"4,491.6","4,514.6","4,412.0","4,438.2"
09/01/2009,"4,476.6","4,523.7","4,466.0","4,514.6"
08/31/2009,"4,485.7","4,537.2","4,471.5","4,479.1"
08/28/2009,"4,459.5","4,492.6","4,459.5","4,489.6"
08/27/2009,"4,450.0","4,461.3","4,424.9","4,450.8"
08/26/2009,"4,405.8","4,468.9","4,405.9","4,454.5"
08/25/2009,"4,426.1","4,432.9","4,389.9","4,405.8"
08/24/2009,"4,291.1","4,426.1","4,290.6","4,426.1"
08/21/2009,"4,377.5","4,379.9","4,260.7","4,290.6"
08/20/2009,"4,373.8","4,425.1","4,367.1","4,377.5"
08/19/2009,"4,381.6","4,437.2","4,367.9","4,373.8"
08/18/2009,"4,388.4","4,398.0","4,352.1","4,381.6"
08/17/2009,"4,461.0","4,461.0","4,388.4","4,388.4"
08/14/2009,"4,435.9","4,509.5","4,435.9","4,461.0"
08/13/2009,"4,343.1","4,435.9","4,343.1","4,435.9"
08/12/2009,"4,332.0","4,351.7","4,294.5","4,343.1"
08/11/2009,"4,304.1","4,332.9","4,279.0","4,332.0"
08/10/2009,"4,299.4","4,347.9","4,300.0","4,304.1"
08/07/2009,"4,326.3","4,315.8","4,275.3","4,299.4"
08/06/2009,"4,264.5","4,327.6","4,264.5","4,326.3"
08/05/2009,"4,309.3","4,320.6","4,264.5","4,264.5"
08/04/2009,"4,263.4","4,340.0","4,263.4","4,309.3"
08/03/2009,"4,244.0","4,282.9","4,244.6","4,263.4"
07/31/2009,"4,190.4","4,247.9","4,190.4","4,244.0"
07/30/2009,"4,142.8","4,201.8","4,134.3","4,190.5"
07/29/2009,"4,169.5","4,180.5","4,142.4","4,142.8"
07/28/2009,"4,139.6","4,177.9","4,138.7","4,169.5"
07/27/2009,"4,089.8","4,153.8","4,089.8","4,139.6"
07/24/2009,"4,064.1","4,122.1","4,081.3","4,089.8"
07/23/2009,"4,068.5","4,069.9","4,047.3","4,064.1"
07/22/2009,"4,050.7","4,074.6","4,046.2","4,068.5"
07/21/2009,"4,050.3","4,083.6","4,043.7","4,050.7"
07/20/2009,"4,000.8","4,066.9","4,000.8","4,050.3"
07/17/2009,"3,995.6","4,026.7","3,989.4","4,000.8"
07/16/2009,"3,924.5","4,022.3","3,924.5","3,995.6"
07/15/2009,"3,867.1","3,930.2","3,870.6","3,924.5"
07/14/2009,"3,737.5","3,867.1","3,737.5","3,867.1"
07/13/2009,"3,794.1","3,792.5","3,735.6","3,737.5"
07/10/2009,"3,763.3","3,796.7","3,764.7","3,794.1"
07/09/2009,"3,767.9","3,769.9","3,742.0","3,763.3"
07/08/2009,"3,766.9","3,767.9","3,709.2","3,767.9"
07/07/2009,"3,783.7","3,786.7","3,761.7","3,766.9"
07/06/2009,"3,828.2","3,821.4","3,767.8","3,783.7"
07/03/2009,"3,877.3","3,860.6","3,804.1","3,828.2"
07/02/2009,"3,874.0","3,910.2","3,872.8","3,877.3"
07/01/2009,"3,954.9","3,954.9","3,859.3","3,874.0"
06/30/2009,"3,886.9","3,955.5","3,886.9","3,954.9"
06/29/2009,"3,886.9","3,926.7","3,882.6","3,886.9"
06/26/2009,"3,903.8","3,915.6","3,861.3","3,903.8"
06/25/2009,"3,807.0","3,857.5","3,812.0","3,856.0"
06/24/2009,"3,796.9","3,811.9","3,767.9","3,807.0"
06/23/2009,"3,918.2","3,918.2","3,791.5","3,796.9"
06/22/2009,"3,899.6","3,931.2","3,897.6","3,918.2"
06/19/2009,"3,892.1","3,933.8","3,898.8","3,899.6"
06/18/2009,"3,904.1","3,921.4","3,871.5","3,892.1"
06/17/2009,"3,962.5","3,962.6","3,874.8","3,904.1"
06/16/2009,"4,031.7","4,016.1","3,953.6","3,962.5"
06/15/2009,"4,062.2","4,062.2","4,031.7","4,031.7"
